MBRD;SIFK;PART;GLAV;SALD;RATA;POCE
0000939;001;2311964761038;5000;85850;150;N
0001008;001;1005963761029;5000;85850;150;N
0002596;001;0204968761514;5000;85850;150;N
0002824;001;2406970761016;5000;85850;150;N
0003117;001;1111960722213;5000;85850;150;N
0003641;001;1501961761010;5000;85950;150;N
0003701;001;0906962761517;5000;90300;100;N
0003789;001;2209963766010;5000;85850;150;N
0004013;001;2409964766013;5000;85850;150;N
0004021;001;0806957761512;5000;85850;150;N
0004137;001;2307962761033;5000;89400;100;N
0004162;001;0311964761014;100000;87450;150;N
0004166;001;0812964766015;100000;85650;150;N
0004202;001;0606959721411;100000;85650;150;N
0004221;001;1903963766029;5000;85850;150;N
0004247;001;1312963761010;5000;87350;150;N
0004248;001;0110963761015;5000;85950;150;N
0004255;001;3103965766035;5000;85850;150;N
0004261;001;1208965766018;5000;85950;150;N
0004288;001;2112965761012;5000;86050;150;N
0004324;001;1212963761032;5000;86900;150;N
0004331;001;2210962761013;5000;85850;150;N
0004341;001;0311962761017;5000;85850;150;N
0004349;001;1506964761021;5000;86300;150;N
0004354;001;1111966766018;5000;85850;150;N
0004366;001;1007964740028;100000;91100;150;N
0004392;001;1501964761046;5000;86450;150;N
0004393;001;2612963761018;5000;85850;150;N
0004396;001;1211963761532;5000;85850;150;N
0004397;001;1810964766024;5000;85850;150;N
0004430;001;0511965726416;5000;86050;150;N
0004434;001;1403965761021;100000;88650;150;N
0004463;001;1506964761048;5000;85850;150;N
0004473;001;0811964766019;5000;85850;150;N
0004479;001;0402962761020;5000;85850;150;N
0004485;001;0101964766011;100000;90650;150;N
0004504;001;2910963761027;5000;85850;150;N
0004510;001;0511965766027;5000;85850;150;N
0004513;001;3101966766028;5000;85850;150;N
0004514;001;1811963766027;5000;85850;150;N
0004515;001;0201964766512;5000;85850;150;N
0004525;001;0409962761025;100000;86950;150;N
0004532;001;1509963761515;5000;86000;150;N
0004548;001;2606965761023;5000;85950;150;N
0004553;001;1604963766013;5000;85850;150;N
0004560;001;0310966761015;5000;85850;150;N
0004583;001;0706967766526;5000;85850;150;N
0004586;001;1905965761019;5000;85850;150;N
0004594;001;2606964761526;100000;87050;150;N
0004611;001;2511965761022;5000;86150;150;N
0004618;001;2208965761020;5000;85950;150;N
0004623;001;0302963766528;5000;85850;150;N
0004634;001;3004961761030;5000;85850;150;N
0004638;001;3101966761026;5000;85850;150;N
0004657;001;2009962766018;100000;87950;150;N
0004668;001;1001968766015;100000;90850;150;N
0004669;001;2708965761012;5000;85850;150;N
0004693;001;1604966761020;5000;85850;150;N
0004694;001;0911966761531;5000;85850;150;N
0004695;001;1806966761030;5000;85850;150;N
0004698;001;1904966761024;5000;85850;150;N
0004699;001;0707966761012;5000;85850;150;N
0004701;001;2801965761012;5000;85850;150;N
0004721;001;0912966761015;100000;90650;150;N
0004722;001;2509966761013;100000;90650;150;N
0004723;001;2110965761044;5000;85850;150;N
0004729;001;1705966761013;5000;85850;150;N
0004730;001;0802966761511;5000;85850;150;N
0004739;001;2208966761013;5000;85850;150;N
0004743;001;0103971761028;5000;85850;150;N
0004763;001;2905966761512;5000;86050;150;N
0004769;001;1803965761011;5000;85850;150;N
0004773;001;2511967761038;100000;90650;150;N
0004791;001;1406962766013;5000;85850;150;N
0004836;001;1403967761010;5000;85850;150;N
0004845;001;1503967721617;5000;85850;150;N
0004846;001;0808967761513;5000;85850;150;N
